timestamp_ms,timestamp,open,high,low,close,volume,quote_asset_volume,last_trade_id,sample_count,open_raw,high_raw,low_raw,close_raw
1779678900000,2026-05-25 03:15:00,2094.59,2096.43,2093.21,2094.33,200.7204,420427.536925,20723034732,0,0.0,0.0,0.0,0.0
1779679200000,2026-05-25 03:20:00,2094.33,2096.48,2094.27,2094.63,162.1446,339777.630552,20723249932,0,0.0,0.0,0.0,0.0
1779679500000,2026-05-25 03:25:00,2094.63,2095.84,2093.66,2094.26,238.764,500082.744812,20723455604,0,0.0,0.0,0.0,0.0
1779679800000,2026-05-25 03:30:00,2094.26,2095.51,2091.21,2094.64,338.5962,708914.605504,20723686984,0,0.0,0.0,0.0,0.0
1779680100000,2026-05-25 03:35:00,2094.64,2096.17,2093.86,2095.6,300.5151,629707.773936,20723889664,0,0.0,0.0,0.0,0.0
1779680400000,2026-05-25 03:40:00,2095.6,2096.02,2094.81,2095.25,203.215,425846.195903,20724059989,0,0.0,0.0,0.0,0.0
1779680700000,2026-05-25 03:45:00,2095.25,2095.41,2092.3,2094.69,273.58050000000003,572846.031284,20724278251,0,0.0,0.0,0.0,0.0
1779681000000,2026-05-25 03:50:00,2094.69,2096.13,2093.79,2095.02,112.73989999999999,236212.041543,20724479037,0,0.0,0.0,0.0,0.0
1779681300000,2026-05-25 03:55:00,2095.02,2095.98,2094.0,2094.28,100.5719,210717.119649,20724642546,0,0.0,0.0,0.0,0.0
1779681600000,2026-05-25 04:00:00,2094.28,2096.09,2093.14,2093.94,107.5196,225210.027738,20724834386,0,0.0,0.0,0.0,0.0
1779681900000,2026-05-25 04:05:00,2093.94,2094.71,2092.54,2093.73,108.3904,226923.123678,20725013368,0,0.0,0.0,0.0,0.0
1779682200000,2026-05-25 04:10:00,2093.73,2094.9,2091.91,2092.8,186.913,391270.542798,20725213129,0,0.0,0.0,0.0,0.0
1779682500000,2026-05-25 04:15:00,2092.8,2093.47,2091.0,2093.44,165.1155,345496.003428,20725417910,0,0.0,0.0,0.0,0.0
1779682800000,2026-05-25 04:20:00,2093.44,2095.69,2093.3,2095.43,253.3467,530708.531562,20725592920,0,0.0,0.0,0.0,0.0
1779683100000,2026-05-25 04:25:00,2095.43,2097.7,2095.22,2097.52,495.67410000000007,1039497.932451,20725760867,0,0.0,0.0,0.0,0.0
1779683400000,2026-05-25 04:30:00,2097.52,2099.97,2096.11,2097.04,376.4592,789708.465017,20725974070,0,0.0,0.0,0.0,0.0
